わが国における損保アクチュアリーの誕生は、いつ頃ですか？,昭和45年ごろです。
損害保険会社の保険計理人となるための資格要件のうち、実務経験に関するものは何ですか？（2つのパターンのうち1つ）,日本アクチュアリー会正会員で、かつ損保会社の保険数理業務に5年以上従事した者です。
損害保険会社の保険計理人となるための資格要件のうち、実務経験に関するもう1つのパターンは何ですか？,日本アクチュアリー会正会員で、保険数理業務に7年以上従事し、そのうち3年以上は損保会社の保険数理業務に従事した者です。
保険業法第122条の2で規定され、日本アクチュアリー会が指定を受けている法人の名称は何ですか？,指定法人です。
損保計理人が毎決算期に確認し、取締役会に意見書を提出すべき事項は何ですか？（4項目）,①責任準備金の積立、②契約者配当の公正・衡平性、③財産の状況（事業継続・支払能力）、④IBNR備金の積立です。
保険計理人は、意見書を取締役会に提出した後、その写しをどこに提出しなければなりませんか？,内閣総理大臣（金融庁）に提出しなければなりません。
保険計理人が法律や処分に違反した場合、内閣総理大臣（金融庁長官）は保険会社に対して何を命じることができますか？,その保険計理人の解任を命じることができます。
保険計理人の確認業務の基準として、保険業法施行規則で定められているものの他に、金融庁長官が認定した基準は何と呼ばれますか？,認定基準（具体的には日本アクチュアリー会が作成した「保険計理人の実務基準」）です。
保険計理人は「保険計理人の実務基準」によらない方法で職務を遂行できますか？,はい、できます。ただし、意見書にその旨を記載し、附属報告書でその方法の正当性を示す必要があります。
保険計理人は、計算書類を承認する取締役会に意見書を提出しますが、その前に意見書の内容を誰に通知することができますか？,監査役または会計監査人です。
損保計理人が行う責任準備金の確認において、算出方法書等に従って適正に計算・積立されているかを確認することを何と呼びますか？,適正性の確認です。
損保計理人が行う責任準備金の確認において、将来収支分析（1号収支分析）を行い、将来の債務履行に支障がない水準かを確認することを何と呼びますか？,水準の確認です。
責任準備金の水準の確認（1号収支分析）の対象となる責任準備金は何ですか？（2種類）,普通責任準備金と払戻積立金です。
保険業法施行規則第70条第3項では、積み立てられた責任準備金で将来の債務履行に支障を来すおそれがある場合、会社は何をすべきだと定めていますか？,保険料及び責任準備金の算出方法書を変更し、追加して責任準備金を積み立てなければならないと定めています。
第三分野保険の責任準備金の健全性を確認する際、必要に応じて実施しなければならないテストは何ですか？,負債十分性テストです。
負債十分性テストの対象となる契約区分は、どのような場合に選出されますか？,「危険発生率」に基づく将来給付額が、「予定発生率」に基づく将来給付額を上回る契約区分です。
負債十分性テストの結果、資産の不足額が生じた場合、保険計理人は何を意見書に記載する必要がありますか？,基準年度において当該不足額の割引現在価値の最大値を追加して責任準備金を積立てる必要があることを記載します。
損保計理人が契約者配当について確認する際、どのような状態であることを確認しますか？,契約者配当が公正かつ衡平に行われていることを確認します。
実務基準によれば、積立保険の利差配当の確認手続きとして、運用成果の保険契約者別配分が何に応じて合理的かつ継続的に行われているかを確認しますか？,予定利率、保険料払込方法、保険期間などの違いに応じて確認します。
損保計理人が行う「財産の状況に関する確認」には、2つの確認事項がありますが、それぞれ何ですか？,「事業継続に関する確認」と「ソルベンシーに関する確認」です。
財産の状況に関する確認のうち、「事業継続に関する確認」は、どのような状態であるかを確認するものですか？,将来の収支を予測した結果、保険業の継続が困難であるかどうかを確認します。
実務基準における事業継続に関する確認では、「基準日の実質純資産の額」と「_____」の合計額が、「リスク相当額」を下回らないことを確認します。,基準年度の翌年度の収支の額
財産の状況に関する確認のうち、「ソルベンシーに関する確認」は、どのような状態であるかを確認するものですか？,保険金等の支払能力の充実の状況が保険数理に基づき適当であるかどうかを確認する
実務基準におけるソルベンシーに関する確認では、ソルベンシー・マージン比率が何パーセント以上であることを確認しますか？,200%以上です。
事業継続の確認において、実質純資産と翌年度収支の合計がリスク相当額に不足する場合、この不足額を何と呼びますか？,事業継続基準不足相当額です。
損保計理人が行うIBNR備金の確認では、どのような状態であることを確認しますか？,IBNR備金が健全な保険数理に基づいて積み立てられていることを確認します。
IBNR備金の確認手続きにおいて、見積り方法が適切であることを確認する際、どのような統計的モデルが例示されていますか？,チェインラダー法、ボーンヒュッター・ファーガソン法などが例示されています。
保険金等の支払いが長期間に及ぶ（ロングテール）かつ重要性のある保険種類については、IBNR備金の見積りにどのような手法を用いることが義務付けられていますか？,統計的な手法を用いることが義務付けられています。
保険会社向けの総合的な監督指針では、保険計理人が法令で定められた保険数理事項に関して、どのような観点から関与しているかが問われますか？,保険契約者の衡平な取扱い及び財務の健全性等の観点です。
監督指針によれば、リスク管理部門は、保険計理人の_____などを検討データとして有効に活用しているかが問われます。,意見書等
