リスクという概念に共通する構成要素の一つは何ですか？,不確実性
保険業法で定義される「少額短期保険業」が引き受ける保険の保険金額の上限は、政令で定める金額以下で何万円以下ですか？,1000万円以下です。
保険業を営むために必要な免許は2種類ありますが、それは何ですか？,生命保険業免許と損害保険業免許です。
いわゆる第三分野の保険は、損害保険会社と生命保険会社のどちらが取り扱えますか？,いずれの会社も取り扱えます。
少額短期保険業者が少額短期保険業を行う場合、保険業法第3条の免許ではなく、何を受ける必要がありますか？,保険業法第272条における内閣総理大臣の登録です。
自賠責保険と地震保険の運営の根拠となる法律の分類は何ですか？,特別法（自動車損害賠償保障法、地震保険に関する法律）です。
保険業法が保険事業者に求めている2つのことは何ですか？,「業務の健全かつ適切な運営」と「保険募集の公正」を確保することです。
保険業法で、同一法人による生命保険業と損害保険業の兼業が禁止されているのはなぜですか？,他の事業のリスクを抱えることにより保険金の支払余力が毀損することを避けるためです。
保険業法で定められている保険会社の業務区分を3つ挙げてください。,固有業務、付随業務、法定他業です。
保険業法第97条で規定されている保険会社の「固有業務」を2つ挙げてください。,「保険の引受け」と「資産の運用」です。
保険会社の財務健全性を確保するため、保険料や責任準備金の算出方法等に関与させるために選任が義務付けられている専門職は何ですか？,保険計理人です。
保険業法第130条で規定されている、保険金等の支払能力の充実の状況が適当か否かの指標を何といいますか？,ソルベンシー・マージン基準
保険会社が破綻した場合に備えるセーフティネットとして、保険業法第259条で設置が規定されている組織は何ですか？,保険契約者保護機構です。
保険会社が取り扱う保険商品の約款や料率等を規定した書類を何と呼びますか？,基礎書類です。
保険契約の特性の一つで、保険会社があらかじめ用意した約款の範囲で契約を選択する性質を何といいますか？,保険の附合契約性
保険業法第2条第26項における「保険募集」の定義は何ですか？,保険契約の締結の代理又は媒介を行うことです。
損害保険の募集を行える者を3種類挙げてください。,損害保険会社の役職員、損害保険代理店、保険仲立人です。
保険業法第300条で、保険募集を行う者に対して禁止されている行為の例を一つ挙げてください。,契約者等に虚偽を告げること、重要な事実を告げないこと、特別な利益を供与することなどです。
令和2年度の日本の損害保険市場において、正味収入保険料の割合が最も大きい保険種目は何ですか？,自動車保険です。
日本の損害保険市場では、自動車保険と自賠責保険の2種目で全体の約_____を占めています。,60％
自動車損害賠償保障法に基づき、自動車事故による被害者救済を目的とする強制保険は何ですか？,自賠責保険です。
被保険者が急激かつ偶然な外来の事故により死亡や後遺障害などを被った場合に保険金を支払う、第三分野に分類される保険は何ですか？,傷害保険です。
法律上の損害賠償責任を負担することによって生じる損害に対して保険金を支払う保険を総称して何といいますか？,賠償責任保険です。
火災保険や傷害保険等の補償機能に貯蓄機能を加え、満期返戻金を支払うことがある保険を何といいますか？,積立保険です。
損害保険と競合する商品の一つである共済は、不特定多数ではなく、_____となった特定の人たちを対象とする仕組みです。,組合員
気象条件や景気動向といった外部環境の変化によるリスクに対し、客観的な指標の変動に基づいて金銭を授受する取引を何といいますか？,保険デリバティブ（天候デリバティブなど）です。
損害保険市場の引受能力を超えたリスクを、証券化などの金融技術を用いて資本市場に移転する市場を何と呼びますか？,保険代替（Alternative Risk Transfer: ART）市場
外国の損害保険会社が日本で損害保険業を行う場合の形態を3つ挙げてください。,日本での現地法人の設立、日本における支店または代理店設立、総代理店です。
英国のロイズが日本で損害保険業を行う際に採用している形態は何ですか？,特定法人が総代理店を定めて免許を受ける形態です。
日本における損害保険の販売チャネルを3つ挙げてください。,直扱い、代理店扱い、保険仲立人（ブローカー）扱いです。
損害保険会社の役職員が直接保険募集を行う販売チャネルを何といいますか？,直扱いです。
損害保険会社と代理店委託契約を締結し、会社に代わって保険契約を締結する者は何ですか？,損害保険代理店です。
損害保険代理店は、保険業法に基づきどこに登録する必要がありますか？,内閣総理大臣です。
複数の損害保険会社と代理店委託契約を締結している代理店を何と呼びますか？,乗合代理店です。
保険会社の代理人ではなく、保険契約者との間で中立的な立場で保険契約の媒介を行う者を何といいますか？,保険仲立人（ブローカー）です。
保険仲立人が保険契約者に対して負う、誠実に媒介を行わなければならない義務を何といいますか？,誠実義務（ベストアドバイス義務）です。
保険仲立人は、保険契約締結権、告知受領権、_____を持たないという特徴があります。,保険料領収権
保険業法第120条に基づき、保険会社は_____を選任し、保険数理に関する事項に関与させなければなりません。,保険計理人
金融商品販売法や保険業法改正により導入された、保険契約者が契約内容を再考し、一定期間内であれば無条件で契約を解除できる制度は何ですか？,クーリング・オフ制度
保険法第２条第４号ハに定められる「傷害疾病定額保険契約」における被保険者の定義は何ですか？,その者の傷害又は疾病に基づき保険者が保険給付を行うこととなる者です。
保険会社が他の保険会社等の業務の代理・事務の代行を行う「付随業務」を行うにあたり、原則として何が必要ですか？,内閣総理大臣の認可です。
令和2年度の共済事業において、共済掛金額の割合が最も大きい種目は何ですか？,生命共済です。
令和2年度の共済事業において、火災／建物共済の掛金額は、同年度の損害保険会社の火災保険の保険料額と比べて大きいですか、小さいですか？,"大きいです。（共済18,469億円に対し、火災保険14,692億円）"
保険は、社会・経済の発展を支える役割を担っており、いわば_____機能を担っているといえます。,社会的なインフラ
自動車損害賠償保障法第77条に規定する政府保障事業の業務の一部を損害保険会社が受託することは、保険会社の業務区分で何に該当しますか？,他の法律により営む業務です。
新種保険の中で最大のウエイトを占める状況となっている保険種目は何ですか？,賠償責任保険です。
